Openfind,2004/04/26,2004/02/22,2004/01/15,2003/11/27,2003/11/24,2003/09/05,
Google,2017/01/12,2017/01/11,2017/01/10,2017/01/09,2017/01/08,2017/01/07,
FAST,2004/03/21,2004/02/10,2004/01/21,2004/01/02,2003/12/06,2003/11/12,
WiseNut,2006/12/29,2006/11/12,2006/10/18,2006/06/17,2006/05/26,2006/05/23,
Inktomi,2017/01/12,2017/01/11,2017/01/10,2017/01/09,2017/01/08,2017/01/07,
NAVER,2008/03/06,2003/01/03,2002/12/08,2002/11/21,2002/11/13,,
InfoSeek,2006/10/04,2006/07/24,2005/09/22,2004/08/23,,,
BaiDu,2017/01/12,2017/01/11,2017/01/10,2017/01/09,2017/01/08,2017/01/07,
goo,2007/02/23,2007/01/03,2006/12/29,,,,
